sekolah_id,siap_id,nama,npsn,is_negeri,is_sbi,k_kota,k_propinsi,kota,propinsi,kompetensi,enable,jml_pagu,jml_luar
22010001,20100251,SMP NEGERI 1,20100251,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,44,0
22010002,20102522,SMP NEGERI 19,20102522,true,true,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,63,0
22010003,20100746,SMP NEGERI 30,20100746,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,50,0
22010004,20102402,SMP NEGERI 11,20102402,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,51,0
22010005,20101545,SMP NEGERI 45,20101545,true,true,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010006,20109183,SMP NEGERI 49,20109183,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,58,0
22010007,20102489,SMP NEGERI 68,20102489,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,43,0
22010008,20101540,SMP NEGERI 75,20101540,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,38,0
22010009,20102487,SMP NEGERI 85,20102487,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,50,0
22010010,20103587,SMP NEGERI 92,20103587,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010011,20103565,SMP NEGERI 99,20103565,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010012,20101553,SMP NEGERI 111,20101553,true,true,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010013,20102510,SMP NEGERI 115,20102510,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,62,0
22010014,20100237,SMP NEGERI 216,20100237,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,57,0
22010015,20103580,SMP NEGERI 255,20103580,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,57,0
22010016,20100236,SMP NEGERI 2,20100236,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,51,0
22010017,20102470,SMP NEGERI 3,20102470,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,44,0
22010018,20100274,SMP NEGERI 4,20100274,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,38,0
22010019,20100277,SMP NEGERI 5,20100277,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,39,0
22010020,20103596,SMP NEGERI 6,20103596,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010021,20103594,SMP NEGERI 7,20103594,true,true,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010022,20100260,SMP NEGERI 8,20100260,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,43,0
22010023,20103590,SMP NEGERI 9,20103590,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010024,20100252,SMP NEGERI 10,20100252,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,45,0
22010025,20102509,SMP NEGERI 12,20102509,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,50,0
22010026,20102507,SMP NEGERI 13,20102507,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,51,0
22010027,20103516,SMP NEGERI 14,20103516,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010028,20102503,SMP NEGERI 15,20102503,true,true,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,44,0
22010029,20107034,SMP NEGERI 16,20107034,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,50,0
22010030,20100231,SMP NEGERI 17,20100231,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,32,0
22010031,20100232,SMP NEGERI 18,20100232,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,44,0
22010032,20103620,SMP NEGERI 20,20103620,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,54,0
22010033,20100770,SMP NEGERI 21,20100770,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,51,0
22010034,20101529,SMP NEGERI 22,20101529,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,45,0
22010035,20100772,SMP NEGERI 23,20100772,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,39,0
22010036,20103624,SMP NEGERI 24,20103624,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010037,20103602,SMP NEGERI 25,20103602,true,true,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010038,20103575,SMP NEGERI 26,20103575,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010039,20103571,SMP NEGERI 27,20103571,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010040,20100270,SMP NEGERI 28,20100270,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,45,0
22010041,20102471,SMP NEGERI 29,20102471,true,true,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,37,0
22010042,20102469,SMP NEGERI 31,20102469,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,44,0
22010043,20101546,SMP NEGERI 32,20101546,true,true,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010044,20102468,SMP NEGERI 33,20102468,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,37,0
22010045,20100747,SMP NEGERI 34,20100747,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,51,0
22010046,20107182,SMP NEGERI 35,20107182,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,71,0
22010047,20103584,SMP NEGERI 36,20103584,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,37,0
22010048,20102467,SMP NEGERI 37,20102467,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,50,0
22010049,20100272,SMP NEGERI 38,20100272,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,38,0
22010050,20106401,SMP NEGERI 39,20106401,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,32,0
22010051,20100275,SMP NEGERI 40,20100275,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,50,0
22010052,20102480,SMP NEGERI 41,20102480,true,true,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,45,0
22010053,20100748,SMP NEGERI 42,20100748,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,39,0
22010054,20102481,SMP NEGERI 43,20102481,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,38,0
22010055,20103601,SMP NEGERI 44,20103601,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010056,20102482,SMP NEGERI 46,20102482,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,25,0
